Run,Utility,Steps,Actions,Performance
1,-3.5100,137,146,-0.0256
2,0.7800,52,61,0.0150
3,0.6100,53,62,0.0115
4,-1.5200,98,107,-0.0155
5,-1.0700,89,98,-0.0120
6,0.0200,68,77,0.0003
7,0.9600,46,55,0.0209
8,-0.9300,83,92,-0.0112
9,-0.8000,82,91,-0.0098
10,1.4400,38,47,0.0379
11,0.3100,59,68,0.0053
12,1.1100,47,56,0.0236
13,-0.2500,71,80,-0.0035
14,-0.0200,64,73,-0.0003
15,-1.0400,86,95,-0.0121
16,1.1400,44,53,0.0259
17,-0.5900,77,86,-0.0077
18,1.8000,30,39,0.0600
19,1.4700,35,44,0.0420
20,-0.7900,85,94,-0.0093
21,-2.5600,118,127,-0.0217
22,0.6600,52,61,0.0127
23,1.5100,35,44,0.0431
24,1.1600,42,51,0.0276
25,0.4600,56,65,0.0082
26,0.5400,56,65,0.0096
27,-0.6600,80,89,-0.0083
28,-1.5500,97,106,-0.0160
29,0.9200,46,55,0.0200
30,0.3600,58,67,0.0062
31,1.2700,43,52,0.0295
32,1.5500,35,44,0.0443
33,-0.1800,68,77,-0.0026
34,-0.4600,76,85,-0.0061
35,-0.0300,65,74,-0.0005
36,-0.7200,82,91,-0.0088
37,1.8400,30,39,0.0613
38,0.2300,63,72,0.0037
39,0.8400,50,59,0.0168
40,-2.1200,110,119,-0.0193
41,-0.9900,85,94,-0.0116
42,0.4700,55,64,0.0085
43,0.3100,59,68,0.0053
44,-2.1200,110,119,-0.0193
45,0.4700,59,68,0.0080
46,1.6300,31,40,0.0526
47,1.2300,43,52,0.0286
48,-2.1700,107,116,-0.0203
49,-0.3900,77,86,-0.0051
50,-4.2700,153,162,-0.0279
51,-2.4300,117,126,-0.0208
52,0.3200,62,71,0.0052
53,-2.4800,118,127,-0.0210
54,1.6700,31,40,0.0539
55,-0.0300,65,74,-0.0005
56,-0.8800,82,91,-0.0107
57,-1.9700,107,116,-0.0184
58,0.1700,65,74,0.0026
59,0.7000,52,61,0.0135
60,0.8800,50,59,0.0176
61,-1.1800,88,97,-0.0134
62,1.6700,35,44,0.0477
63,2.2200,24,33,0.0925
64,-0.0700,69,78,-0.0010
65,-0.2800,70,79,-0.0040
66,1.0700,47,56,0.0228
67,1.3700,41,50,0.0334
68,1.2600,44,53,0.0286
69,1.7200,34,43,0.0506
70,0.5000,56,65,0.0089
71,0.3900,59,68,0.0066
72,0.8500,49,58,0.0173
73,0.1800,64,73,0.0028
74,1.3300,41,50,0.0324
75,1.9800,28,37,0.0707
76,0.5700,53,62,0.0108
77,1.0700,47,56,0.0228
78,-0.1400,68,77,-0.0021
79,-2.4200,112,121,-0.0216
80,-2.1600,110,119,-0.0196
81,-1.2400,94,103,-0.0132
82,0.9100,47,56,0.0194
83,0.4300,59,68,0.0073
84,0.2800,62,71,0.0045
85,-0.3400,72,81,-0.0047
86,1.3200,38,47,0.0347
87,1.3800,40,49,0.0345
88,0.3800,56,65,0.0068
89,0.5400,56,65,0.0096
90,1.3300,41,50,0.0324
91,-0.6300,77,86,-0.0082
92,-1.1800,92,101,-0.0128
93,-1.5300,95,104,-0.0161
94,1.0300,47,56,0.0219
95,0.3100,59,68,0.0053
96,-1.4800,98,107,-0.0151
97,-0.2400,74,83,-0.0032
98,-1.1500,89,98,-0.0129
99,1.4300,39,48,0.0367
100,1.5500,35,44,0.0443
