Run,Utility,Steps,Actions,Performance
1,1.9900,27,36,0.0737
2,1.8600,28,37,0.0664
3,1.8200,32,41,0.0569
4,2.0500,25,34,0.0820
5,1.9600,30,39,0.0653
6,1.9900,27,36,0.0737
7,2.0800,26,35,0.0800
8,1.7200,34,43,0.0506
9,2.1300,25,34,0.0852
10,1.9300,25,34,0.0772
11,2.0900,25,34,0.0836
12,1.8400,30,39,0.0613
13,1.7300,29,38,0.0597
14,1.8600,28,37,0.0664
15,1.6700,31,40,0.0539
16,1.8600,28,37,0.0664
17,1.9300,29,38,0.0666
18,1.8800,26,35,0.0723
19,1.8300,27,36,0.0678
20,1.7800,28,37,0.0636
21,1.9300,29,38,0.0666
22,1.8200,28,37,0.0650
23,2.1700,25,34,0.0868
24,1.8800,26,35,0.0723
25,2.0300,27,36,0.0752
26,1.8200,28,37,0.0650
27,1.9300,29,38,0.0666
28,1.7600,30,39,0.0587
29,1.6700,31,40,0.0539
30,1.8600,32,41,0.0581
31,1.7800,28,37,0.0636
32,2.1200,22,31,0.0964
33,1.9900,27,36,0.0737
34,1.7600,30,39,0.0587
35,1.5700,33,42,0.0476
36,1.7100,31,40,0.0552
37,2.1600,22,31,0.0982
38,1.7600,30,39,0.0587
39,1.9100,27,36,0.0707
40,2.0600,24,33,0.0858
41,2.0200,24,33,0.0842
42,1.7000,32,41,0.0531
43,2.1800,24,33,0.0908
44,2.0000,26,35,0.0769
45,1.8700,27,36,0.0693
46,1.8300,31,40,0.0590
47,1.7300,29,38,0.0597
48,1.8800,30,39,0.0627
49,1.8700,27,36,0.0693
50,1.8600,28,37,0.0664
51,1.9300,29,38,0.0666
52,1.8300,31,40,0.0590
53,1.8800,26,35,0.0723
54,1.9100,27,36,0.0707
55,1.8100,29,38,0.0624
56,1.9700,29,38,0.0679
57,1.8800,30,39,0.0627
58,1.8300,31,40,0.0590
59,1.7700,29,38,0.0610
60,2.1300,25,34,0.0852
61,1.8200,32,41,0.0569
62,1.8300,27,36,0.0678
63,1.8100,29,38,0.0624
64,1.8600,28,37,0.0664
65,1.9100,27,36,0.0707
66,1.6300,31,40,0.0526
67,1.8700,27,36,0.0693
68,1.7100,31,40,0.0552
69,1.8600,28,37,0.0664
70,1.6100,33,42,0.0488
71,1.8100,29,38,0.0624
72,1.8500,29,38,0.0638
73,1.8700,31,40,0.0603
74,1.7600,30,39,0.0587
75,1.6700,31,40,0.0539
76,2.0600,24,33,0.0858
77,1.9800,24,33,0.0825
78,1.6100,33,42,0.0488
79,1.5700,33,42,0.0476
80,2.1100,27,36,0.0781
81,1.7100,31,40,0.0552
82,1.8300,31,40,0.0590
83,2.0600,24,33,0.0858
84,2.0700,23,32,0.0900
85,1.9800,24,33,0.0825
86,1.7100,31,40,0.0552
87,1.8400,30,39,0.0613
88,1.8100,29,38,0.0624
89,1.8200,28,37,0.0650
90,1.9300,25,34,0.0772
91,1.9100,27,36,0.0707
92,2.0100,25,34,0.0804
93,1.8300,31,40,0.0590
94,1.9100,27,36,0.0707
95,1.9600,26,35,0.0754
96,2.1300,25,34,0.0852
97,1.8000,30,39,0.0600
98,1.8800,30,39,0.0627
99,1.8200,28,37,0.0650
100,1.7600,30,39,0.0587
