Run,TotalUtility,TotalSteps,TotalActions,Agent1Utility,Agent1Steps,Agent1Actions,Agent2Utility,Agent2Steps,Agent2Actions,WasDeadlock
1,0.1200,110,119,0.1100,45,49,0.0100,65,70,SUCCESS
2,0.5500,67,76,0.4500,39,43,0.1000,28,33,SUCCESS
3,0.2300,67,76,0.1600,22,27,0.0700,45,49,SUCCESS
4,-2.7000,128,137,-0.7900,63,67,-1.9100,65,70,SUCCESS
5,0.1500,83,92,0.2100,43,47,-0.0600,40,45,SUCCESS
6,-6.5900,325,334,-0.4600,80,85,-6.1300,245,249,SUCCESS
7,0.6400,54,63,-0.0300,21,26,0.6700,33,37,SUCCESS
8,-3.7700,179,188,-2.5900,73,76,-1.1800,106,112,SUCCESS
9,1.0600,52,61,0.1200,18,21,0.9400,34,40,SUCCESS
10,-3.0500,131,140,-0.8100,65,71,-2.2400,66,69,SUCCESS
11,-8.6400,182,190,-5.3400,94,97,-3.3000,88,93,DEADLOCK
12,-0.5300,83,92,0.0500,47,51,-0.5800,36,41,SUCCESS
13,-1.4500,143,152,0.6200,82,88,-2.0700,61,64,SUCCESS
14,0.2100,69,78,0.6100,35,39,-0.4000,34,39,SUCCESS
15,1.1200,46,55,1.1000,26,30,0.0200,20,25,SUCCESS
16,0.4600,76,85,0.0600,46,50,0.4000,30,35,SUCCESS
17,-6.2300,149,157,-1.2500,85,91,-4.9800,64,66,DEADLOCK
18,-1.1300,107,116,0.0400,64,70,-1.1700,43,46,SUCCESS
19,-4.8600,164,173,-1.9300,59,64,-2.9300,105,109,SUCCESS
20,-0.2100,91,100,0.3700,33,38,-0.5800,58,62,SUCCESS
21,-8.6200,204,212,-2.6900,99,104,-5.9300,105,108,DEADLOCK
22,-0.8800,86,95,-0.6000,34,39,-0.2800,52,56,SUCCESS
23,-0.0100,91,100,-0.5200,30,33,0.5100,61,67,SUCCESS
24,1.7400,32,41,0.6700,7,12,1.0700,25,29,SUCCESS
25,0.1900,79,88,-0.4300,29,32,0.6200,50,56,SUCCESS
26,1.1900,59,68,1.3600,24,30,-0.1700,35,38,SUCCESS
27,0.4000,62,71,0.4700,37,41,-0.0700,25,30,SUCCESS
28,1.6300,39,48,1.0600,26,30,0.5700,13,18,SUCCESS
29,-5.9100,145,153,-1.2400,88,94,-4.6700,57,59,DEADLOCK
30,0.2900,85,94,0.9400,46,52,-0.6500,39,42,SUCCESS
31,-5.8000,210,219,-3.8700,97,100,-1.9300,113,119,SUCCESS
32,-0.3100,93,102,-0.0800,42,47,-0.2300,51,55,SUCCESS
33,-0.4000,102,111,-0.8100,47,50,0.4100,55,61,SUCCESS
34,-1.6400,122,131,-1.8700,57,60,0.2300,65,71,SUCCESS
35,-4.6900,95,103,-3.7200,38,40,-0.9700,57,63,DEADLOCK
36,0.4900,77,86,0.0600,28,31,0.4300,49,55,SUCCESS
37,-0.2600,100,109,-0.8200,36,39,0.5600,64,70,SUCCESS
38,2.0000,38,47,1.4400,20,24,0.5600,18,23,SUCCESS
39,-3.7500,193,202,-1.1300,121,127,-2.6200,72,75,SUCCESS
40,-0.7800,136,145,-0.5900,59,63,-0.1900,77,82,SUCCESS
41,0.5100,83,92,0.5100,37,41,-0.0000,46,51,SUCCESS
42,0.1100,83,92,0.9800,46,52,-0.8700,37,40,SUCCESS
43,0.0500,85,94,0.9700,47,53,-0.9200,38,41,SUCCESS
44,0.6600,52,61,-0.0700,7,7,0.7300,45,54,SUCCESS
45,1.2900,41,50,0.4200,12,17,0.8700,29,33,SUCCESS
46,-4.6600,164,173,-1.5300,55,60,-3.1300,109,113,SUCCESS
47,-1.6400,122,131,-0.2600,48,53,-1.3800,74,78,SUCCESS
48,0.8800,66,75,0.4100,29,34,0.4700,37,41,SUCCESS
49,-2.3400,136,145,-2.3200,66,69,-0.0200,70,76,SUCCESS
50,0.0800,66,75,0.3100,15,20,-0.2300,51,55,SUCCESS
51,-2.3800,116,125,-2.2200,64,67,-0.1600,52,58,SUCCESS
52,1.4100,49,58,0.2900,25,30,1.1200,24,28,SUCCESS
53,1.7800,32,41,0.5600,10,15,1.2200,22,26,SUCCESS
54,-0.8200,116,125,-1.5700,51,54,0.7500,65,71,SUCCESS
55,0.3400,60,69,0.1200,18,23,0.2200,42,46,SUCCESS
56,0.5800,72,81,0.4100,29,34,0.1700,43,47,SUCCESS
57,0.5800,72,81,0.2100,33,38,0.3700,39,43,SUCCESS
58,-2.3000,132,141,-1.1700,63,68,-1.1300,69,73,SUCCESS
59,-0.0400,78,87,-0.8300,37,40,0.7900,41,47,SUCCESS
60,1.0400,46,55,0.1200,18,23,0.9200,28,32,SUCCESS
61,-0.0600,68,77,-0.2300,25,30,0.1700,43,47,SUCCESS
62,-0.1500,105,114,0.1800,52,57,-0.3300,53,57,SUCCESS
63,-0.8700,101,110,-0.7900,53,58,-0.0800,48,52,SUCCESS
64,-2.8100,175,184,-1.1800,96,101,-1.6300,79,83,SUCCESS
65,-1.8700,125,134,-1.7200,54,57,-0.1500,71,77,SUCCESS
66,-3.7300,195,204,-1.2300,97,102,-2.5000,98,102,SUCCESS
67,-2.9900,153,162,-1.0100,67,72,-1.9800,86,90,SUCCESS
68,1.2400,50,59,0.5900,15,20,0.6500,35,39,SUCCESS
69,-0.8300,89,98,-0.7000,40,45,-0.1300,49,53,SUCCESS
70,1.0800,46,55,0.4100,13,18,0.6700,33,37,SUCCESS
71,0.6500,61,70,0.3300,21,26,0.3200,40,44,SUCCESS
72,-3.7200,190,199,-0.7400,84,89,-2.9800,106,110,SUCCESS
73,-5.2100,119,127,-3.0900,49,52,-2.1200,70,75,DEADLOCK
74,0.9500,63,72,0.4500,25,30,0.5000,38,42,SUCCESS
75,-5.0200,208,217,-2.3800,98,102,-2.6400,110,115,SUCCESS
76,-0.5900,85,94,0.2900,47,51,-0.8800,38,43,SUCCESS
77,0.2600,76,85,0.6600,34,38,-0.4000,42,47,SUCCESS
78,-5.7900,213,222,-3.0600,110,114,-2.7300,103,108,SUCCESS
79,-0.9900,89,98,-0.4400,56,60,-0.5500,33,38,SUCCESS
80,-1.5100,101,110,-0.1400,50,54,-1.3700,51,56,SUCCESS
81,0.3400,76,85,0.5600,36,40,-0.2200,40,45,SUCCESS
82,0.1600,82,91,0.3000,42,46,-0.1400,40,45,SUCCESS
83,0.9000,52,61,0.7100,33,37,0.1900,19,24,SUCCESS
84,-1.3700,95,102,-1.0900,43,46,-0.2800,52,56,SUCCESS
85,0.4000,86,95,-0.3300,27,30,0.7300,59,65,SUCCESS
86,-0.5600,110,119,-1.5700,51,54,1.0100,59,65,SUCCESS
87,-4.3700,191,200,-2.9700,79,82,-1.4000,112,118,SUCCESS
88,0.2300,67,76,0.3100,19,24,-0.0800,48,52,SUCCESS
89,-5.9300,127,135,-3.3400,54,57,-2.5900,73,78,DEADLOCK
90,-6.3800,148,156,-4.3300,73,76,-2.0500,75,80,DEADLOCK
91,-2.2200,140,149,0.1700,71,77,-2.3900,69,72,SUCCESS
92,-1.1800,108,117,-1.2200,44,47,0.0400,64,70,SUCCESS
93,-1.4200,108,117,-1.3800,48,51,-0.0400,60,66,SUCCESS
94,-0.9800,116,125,0.0500,49,54,-1.0300,67,71,SUCCESS
95,-1.9100,109,118,-1.0800,46,51,-0.8300,63,67,SUCCESS
96,0.7800,52,61,0.2100,17,22,0.5700,35,39,SUCCESS
97,-1.8400,110,119,-0.4100,35,40,-1.4300,75,79,SUCCESS
98,1.0500,61,70,0.4900,25,30,0.5600,36,40,SUCCESS
99,0.6900,77,86,0.3200,38,43,0.3700,39,43,SUCCESS
100,-3.8300,173,182,-0.7000,90,96,-3.1300,83,86,SUCCESS
